Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_6_0,standard,26,2,0.00022739998530596495,SUBOPTIMAL,3,"[2, 1, 2, 2, 1, 3]"
in_house_6_1,standard,26,2,3.5900011425837874e-05,SUBOPTIMAL,3,"[1, 1, 2, 2, 3, 2]"
in_house_6_10,standard,26,2,3.2100011594593525e-05,SUBOPTIMAL,3,"[1, 2, 1, 2, 3, 2]"
in_house_6_11,standard,26,2,2.7400004910305142e-05,SUBOPTIMAL,3,"[2, 2, 1, 1, 2, 3]"
in_house_6_12,standard,46,3,3.3899996196851134e-05,SUBOPTIMAL,4,"[1, 2, 2, 3, 1, 4]"
in_house_6_13,standard,46,3,2.6699999580159783e-05,SUBOPTIMAL,4,"[2, 3, 2, 4, 1, 1]"
in_house_6_14,standard,46,3,2.2400025045499206e-05,SUBOPTIMAL,4,"[2, 1, 2, 3, 4, 1]"
in_house_6_15,standard,46,3,2.3200002033263445e-05,SUBOPTIMAL,4,"[2, 3, 2, 1, 1, 4]"
in_house_6_16,standard,46,3,3.3100019209086895e-05,SUBOPTIMAL,4,"[1, 2, 3, 1, 2, 4]"
in_house_6_17,standard,26,2,3.060000017285347e-05,SUBOPTIMAL,3,"[2, 1, 1, 2, 3, 2]"
in_house_6_18,standard,46,3,4.980000085197389e-05,SUBOPTIMAL,4,"[1, 1, 2, 2, 3, 4]"
in_house_6_19,standard,46,3,3.749999450519681e-05,SUBOPTIMAL,4,"[1, 2, 1, 2, 3, 4]"
in_house_6_2,standard,26,2,0.00016239998512901366,SUBOPTIMAL,3,"[2, 1, 1, 2, 2, 3]"
in_house_6_20,standard,26,2,0.00017819998902268708,SUBOPTIMAL,3,"[1, 1, 2, 2, 2, 3]"
in_house_6_21,standard,46,3,4.33000095654279e-05,SUBOPTIMAL,4,"[1, 2, 3, 2, 4, 1]"
in_house_6_22,standard,46,3,3.549997927621007e-05,SUBOPTIMAL,4,"[2, 2, 1, 3, 1, 4]"
in_house_6_23,standard,31,2,3.100000321865082e-05,SUBOPTIMAL,3,"[1, 1, 2, 2, 3, 3]"
in_house_6_24,standard,26,2,4.2100000428035855e-05,SUBOPTIMAL,3,"[1, 2, 2, 1, 2, 3]"
in_house_6_3,standard,46,3,3.8300000596791506e-05,SUBOPTIMAL,4,"[2, 3, 2, 1, 4, 1]"
in_house_6_4,standard,31,2,6.170000415295362e-05,SUBOPTIMAL,3,"[1, 2, 2, 1, 3, 3]"
in_house_6_5,standard,46,3,3.509997623041272e-05,SUBOPTIMAL,4,"[2, 1, 1, 2, 3, 4]"
in_house_6_6,standard,31,2,3.860000288113952e-05,SUBOPTIMAL,3,"[1, 2, 1, 2, 3, 3]"
in_house_6_7,standard,26,2,3.5200006095692515e-05,SUBOPTIMAL,3,"[1, 2, 2, 1, 3, 2]"
in_house_6_8,standard,46,3,3.329999162815511e-05,SUBOPTIMAL,4,"[1, 2, 1, 3, 2, 4]"
in_house_6_9,standard,46,3,3.429999924264848e-05,SUBOPTIMAL,4,"[1, 2, 1, 2, 3, 4]"
in_house_7_0,standard,61,3,4.47999918833375e-05,SUBOPTIMAL,4,"[1, 2, 3, 3, 4, 2, 1]"
in_house_7_1,standard,61,3,3.4500000765547156e-05,SUBOPTIMAL,4,"[2, 1, 3, 2, 1, 3, 4]"
in_house_7_10,standard,56,3,2.7900008717551827e-05,SUBOPTIMAL,4,"[2, 3, 1, 1, 3, 4, 2]"
in_house_7_11,standard,61,3,5.3499999921768904e-05,SUBOPTIMAL,4,"[1, 1, 2, 2, 4, 3, 2]"
in_house_7_12,standard,56,3,2.9099988751113415e-05,SUBOPTIMAL,4,"[3, 1, 2, 2, 1, 3, 4]"
in_house_7_13,standard,66,3,2.950002090074122e-05,SUBOPTIMAL,4,"[3, 2, 3, 1, 2, 4, 1]"
in_house_7_14,standard,46,3,4.4400017941370606e-05,SUBOPTIMAL,4,"[2, 2, 1, 3, 4, 1, 1]"
