Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_6_0,standard,26,2,0.00028500001644715667,SUBOPTIMAL,3,"[1, 3, 2, 1, 2, 1]"
in_house_6_1,standard,26,2,3.440000000409782e-05,SUBOPTIMAL,3,"[2, 2, 1, 1, 3, 1]"
in_house_6_10,standard,26,2,3.37999954354018e-05,SUBOPTIMAL,3,"[2, 1, 2, 1, 3, 1]"
in_house_6_11,standard,26,2,2.2500025806948543e-05,SUBOPTIMAL,3,"[1, 1, 3, 2, 2, 1]"
in_house_6_12,standard,46,3,3.070000093430281e-05,OPTIMAL,3,"[1, 3, 2, 2, 1, 3]"
in_house_6_13,standard,46,3,3.949998063035309e-05,OPTIMAL,3,"[3, 1, 1, 3, 2, 2]"
in_house_6_14,standard,46,3,0.00020640000002458692,SUBOPTIMAL,4,"[1, 2, 1, 4, 2, 3]"
in_house_6_15,standard,46,3,5.020000389777124e-05,SUBOPTIMAL,4,"[2, 1, 2, 1, 3, 4]"
in_house_6_16,standard,46,3,3.999998443759978e-05,SUBOPTIMAL,4,"[1, 2, 1, 4, 3, 2]"
in_house_6_17,standard,26,2,2.9199989512562752e-05,SUBOPTIMAL,3,"[1, 2, 3, 1, 2, 1]"
in_house_6_18,standard,46,3,4.05999890062958e-05,OPTIMAL,3,"[3, 3, 1, 2, 2, 1]"
in_house_6_19,standard,46,3,3.409999771974981e-05,SUBOPTIMAL,4,"[3, 4, 2, 1, 1, 2]"
in_house_6_2,standard,26,2,6.489999941550195e-05,SUBOPTIMAL,3,"[1, 2, 2, 1, 1, 3]"
in_house_6_20,standard,26,2,3.709999145939946e-05,OPTIMAL,2,"[2, 1, 1, 2, 2, 1]"
in_house_6_21,standard,46,3,3.809999907389283e-05,OPTIMAL,3,"[2, 1, 3, 3, 1, 2]"
in_house_6_22,standard,46,3,3.3100019209086895e-05,OPTIMAL,3,"[1, 2, 3, 1, 3, 2]"
in_house_6_23,standard,31,2,0.00016149997827596962,OPTIMAL,2,"[1, 2, 1, 2, 1, 2]"
in_house_6_24,standard,26,2,5.160001455806196e-05,OPTIMAL,2,"[2, 1, 2, 1, 1, 2]"
in_house_6_3,standard,46,3,3.5699980799108744e-05,SUBOPTIMAL,4,"[4, 3, 3, 1, 1, 2]"
in_house_6_4,standard,31,2,4.370001261122525e-05,OPTIMAL,2,"[2, 1, 1, 1, 2, 2]"
in_house_6_5,standard,46,3,6.38000201433897e-05,OPTIMAL,3,"[2, 1, 1, 3, 3, 2]"
in_house_6_6,standard,31,2,3.680001827888191e-05,SUBOPTIMAL,3,"[1, 2, 1, 3, 3, 2]"
in_house_6_7,standard,26,2,2.850001328624785e-05,SUBOPTIMAL,3,"[1, 2, 2, 1, 3, 2]"
in_house_6_8,standard,46,3,2.3500004317611456e-05,OPTIMAL,3,"[3, 1, 3, 2, 2, 1]"
in_house_6_9,standard,46,3,6.940000457689166e-05,OPTIMAL,3,"[3, 1, 3, 2, 2, 1]"
in_house_7_0,standard,61,3,5.460000829771161e-05,SUBOPTIMAL,4,"[4, 3, 2, 3, 1, 2, 1]"
in_house_7_1,standard,61,3,2.929999027401209e-05,OPTIMAL,3,"[2, 1, 2, 3, 1, 2, 3]"
in_house_7_10,standard,56,3,2.3200002033263445e-05,SUBOPTIMAL,4,"[3, 2, 1, 1, 2, 3, 4]"
in_house_7_11,standard,61,3,4.469999112188816e-05,SUBOPTIMAL,4,"[2, 2, 1, 1, 4, 3, 1]"
in_house_7_12,standard,56,3,4.880002234131098e-05,OPTIMAL,3,"[2, 1, 3, 2, 1, 3, 2]"
in_house_7_13,standard,66,3,4.129999433644116e-05,OPTIMAL,3,"[2, 1, 2, 3, 2, 1, 3]"
in_house_7_14,standard,46,3,4.420001641847193e-05,SUBOPTIMAL,4,"[3, 2, 1, 2, 1, 1, 4]"
in_house_7_15,standard,61,3,0.0003006000188179314,OPTIMAL,3,"[2, 1, 1, 3, 1, 3, 2]"
in_house_7_16,standard,51,3,5.4100004490464926e-05,SUBOPTIMAL,4,"[3, 1, 1, 4, 2, 1, 2]"
in_house_7_17,standard,56,3,5.9999991208314896e-05,SUBOPTIMAL,4,"[3, 4, 3, 1, 2, 2, 1]"
in_house_7_18,standard,66,3,5.120001151226461e-05,SUBOPTIMAL,4,"[1, 3, 1, 2, 2, 4, 3]"
in_house_7_19,standard,56,3,3.609998384490609e-05,OPTIMAL,3,"[2, 2, 3, 1, 1, 3, 1]"
in_house_7_2,standard,61,3,5.370000144466758e-05,OPTIMAL,3,"[2, 1, 2, 3, 1, 3, 1]"
in_house_7_20,standard,61,3,5.750000127591193e-05,OPTIMAL,3,"[3, 2, 1, 1, 2, 2, 3]"
in_house_7_21,standard,56,3,4.6200002543628216e-05,SUBOPTIMAL,4,"[2, 3, 1, 4, 1, 2, 1]"
in_house_7_22,standard,61,3,3.880000440403819e-05,OPTIMAL,3,"[1, 3, 1, 2, 2, 3, 1]"
in_house_7_23,standard,51,3,4.4500018702819943e-05,OPTIMAL,3,"[1, 2, 2, 3, 1, 3, 2]"
in_house_7_24,standard,51,3,6.400002166628838e-05,OPTIMAL,3,"[1, 2, 3, 2, 1, 2, 1]"
in_house_7_3,standard,56,3,4.9299997044727206e-05,SUBOPTIMAL,4,"[2, 1, 3, 4, 2, 3, 1]"
in_house_7_4,standard,31,2,8.249998791143298e-05,OPTIMAL,2,"[1, 2, 2, 2, 2, 1, 1]"
in_house_7_5,standard,61,3,0.0002294000005349517,SUBOPTIMAL,4,"[4, 2, 3, 2, 1, 3, 1]"
