Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_4_0,standard,21,2,0.00025459995958954096,OPTIMAL,2,"[1, 1, 2, 2]"
in_house_4_1,standard,6,2,2.9999995604157448e-05,OPTIMAL,2,"[1, 1, 1, 2]"
in_house_4_10,standard,16,2,2.780009526759386e-05,OPTIMAL,2,"[2, 2, 2, 1]"
in_house_4_11,standard,26,3,4.060007631778717e-05,OPTIMAL,3,"[1, 2, 3, 3]"
in_house_4_12,standard,16,2,5.0900038331747055e-05,OPTIMAL,2,"[1, 2, 2, 1]"
in_house_4_13,standard,16,2,4.779989831149578e-05,OPTIMAL,2,"[2, 1, 2, 2]"
in_house_4_14,standard,21,3,3.220001235604286e-05,OPTIMAL,3,"[2, 2, 1, 3]"
in_house_4_15,standard,11,2,2.1400046534836292e-05,OPTIMAL,2,"[1, 1, 2, 2]"
in_house_4_16,standard,16,2,2.4600070901215076e-05,OPTIMAL,2,"[1, 1, 2, 2]"
in_house_4_17,standard,11,2,6.310001481324434e-05,OPTIMAL,2,"[2, 1, 1, 2]"
in_house_4_18,standard,6,2,3.509991802275181e-05,OPTIMAL,2,"[1, 1, 2, 1]"
in_house_4_19,standard,16,3,4.650000482797623e-05,OPTIMAL,3,"[1, 2, 3, 1]"
in_house_4_2,standard,16,3,2.8499984182417393e-05,OPTIMAL,3,"[1, 1, 2, 3]"
in_house_4_20,standard,16,2,2.1400046534836292e-05,OPTIMAL,2,"[1, 2, 2, 2]"
in_house_4_21,standard,26,3,2.4399952962994576e-05,OPTIMAL,3,"[3, 1, 3, 2]"
in_house_4_22,standard,11,2,9.300000965595245e-05,OPTIMAL,2,"[1, 2, 2, 1]"
in_house_4_23,standard,26,3,3.530003596097231e-05,OPTIMAL,3,"[3, 3, 1, 2]"
in_house_4_24,standard,21,3,5.91999851167202e-05,OPTIMAL,3,"[2, 2, 3, 1]"
in_house_4_3,standard,16,2,3.0199997127056122e-05,OPTIMAL,2,"[1, 2, 1, 2]"
in_house_4_4,standard,21,2,2.6699970476329327e-05,OPTIMAL,2,"[1, 2, 1, 2]"
in_house_4_5,standard,11,2,4.339998122304678e-05,OPTIMAL,2,"[1, 2, 1, 2]"
in_house_4_6,standard,11,2,3.730005118995905e-05,OPTIMAL,2,"[2, 1, 1, 2]"
in_house_4_7,standard,26,3,3.190001007169485e-05,OPTIMAL,3,"[1, 3, 2, 3]"
in_house_4_8,standard,16,2,2.129992935806513e-05,OPTIMAL,2,"[1, 2, 1, 2]"
in_house_4_9,standard,16,2,2.8199981898069382e-05,OPTIMAL,2,"[1, 1, 2, 2]"
in_house_5_0,standard,21,2,0.00013150006998330355,OPTIMAL,2,"[1, 1, 1, 2, 2]"
in_house_5_1,standard,31,2,4.830001853406429e-05,OPTIMAL,2,"[1, 2, 2, 1, 2]"
in_house_5_10,standard,26,3,3.400002606213093e-05,OPTIMAL,3,"[1, 2, 2, 1, 3]"
