Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_4_0,standard,21,2,0.0002634000265970826,OPTIMAL,2,"[2, 2, 1, 1]"
in_house_4_1,standard,6,2,1.98000343516469e-05,OPTIMAL,2,"[1, 1, 1, 2]"
in_house_4_10,standard,16,2,3.0399998649954796e-05,OPTIMAL,2,"[1, 1, 1, 2]"
in_house_4_11,standard,26,3,1.8499908037483692e-05,OPTIMAL,3,"[2, 3, 1, 1]"
in_house_4_12,standard,16,2,2.8900103643536568e-05,SUBOPTIMAL,3,"[3, 2, 1, 1]"
in_house_4_13,standard,16,2,3.0199997127056122e-05,OPTIMAL,2,"[1, 2, 1, 1]"
in_house_4_14,standard,21,3,2.9799994081258774e-05,OPTIMAL,3,"[3, 1, 2, 1]"
in_house_4_15,standard,11,2,4.4199987314641476e-05,OPTIMAL,2,"[1, 1, 2, 2]"
in_house_4_16,standard,16,2,4.379998426884413e-05,OPTIMAL,2,"[2, 2, 1, 1]"
in_house_4_17,standard,11,2,4.0100072510540485e-05,OPTIMAL,2,"[1, 1, 2, 1]"
in_house_4_18,standard,6,2,2.8999987989664078e-05,OPTIMAL,2,"[1, 1, 2, 1]"
in_house_4_19,standard,16,3,2.1400046534836292e-05,OPTIMAL,3,"[1, 3, 2, 1]"
in_house_4_2,standard,16,3,1.9300030544400215e-05,OPTIMAL,3,"[3, 1, 1, 2]"
in_house_4_20,standard,16,2,1.750001683831215e-05,OPTIMAL,2,"[2, 1, 1, 1]"
in_house_4_21,standard,26,3,3.85999446734786e-05,OPTIMAL,3,"[1, 2, 1, 3]"
in_house_4_22,standard,11,2,0.00014839996583759785,OPTIMAL,2,"[1, 1, 1, 2]"
in_house_4_23,standard,26,3,2.3900065571069717e-05,OPTIMAL,3,"[1, 1, 3, 2]"
in_house_4_24,standard,21,3,2.0600040443241596e-05,OPTIMAL,3,"[3, 1, 1, 2]"
in_house_4_3,standard,16,2,3.729993477463722e-05,OPTIMAL,2,"[2, 1, 2, 1]"
in_house_4_4,standard,21,2,2.8399983420968056e-05,OPTIMAL,2,"[2, 1, 2, 1]"
in_house_4_5,standard,11,2,1.910002902150154e-05,OPTIMAL,2,"[2, 1, 1, 1]"
in_house_4_6,standard,11,2,1.780001912266016e-05,OPTIMAL,2,"[1, 2, 1, 1]"
in_house_4_7,standard,26,3,1.910002902150154e-05,OPTIMAL,3,"[3, 1, 2, 1]"
in_house_4_8,standard,16,2,2.0299921743571758e-05,SUBOPTIMAL,3,"[3, 2, 1, 1]"
