Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_12_0,standard,66,60,1.2900010915473104e-05,SUBOPTIMAL,58,"[11, 4, 9, 10, 1, 2, 0]"
in_house_12_1,standard,71,42,8.000002708286047e-06,SUBOPTIMAL,41,"[2, 5, 0, 9]"
in_house_12_10,standard,67,65,7.600028766319156e-06,SUBOPTIMAL,63,"[5, 8, 0, 7, 1, 2, 6, 3, 4]"
in_house_12_11,standard,70,52,7.499998901039362e-06,SUBOPTIMAL,47,"[8, 9, 4, 6, 11]"
in_house_12_12,standard,66,6,8.300004992634058e-06,SUBOPTIMAL,5,[10]
in_house_12_13,standard,65,18,1.1299998732283711e-05,SUBOPTIMAL,16,"[5, 11]"
in_house_12_14,standard,66,67,9.90001717582345e-06,SUBOPTIMAL,65,"[9, 0, 2, 11, 8, 5, 7, 1, 6]"
in_house_12_15,standard,69,82,1.170000177808106e-05,SUBOPTIMAL,81,"[8, 2, 6, 1, 3, 7, 0, 10, 11]"
in_house_12_16,standard,65,39,1.2899981811642647e-05,SUBOPTIMAL,38,"[10, 1, 5, 2, 11, 3, 4, 6]"
in_house_12_17,standard,68,58,1.659998088143766e-05,SUBOPTIMAL,54,"[7, 0, 2, 5, 1, 10]"
in_house_12_18,standard,70,61,1.6799982404336333e-05,SUBOPTIMAL,60,"[10, 1, 5, 9, 8, 2, 4, 0, 6]"
in_house_12_19,standard,67,57,1.4200020814314485e-05,SUBOPTIMAL,53,"[7, 0, 2, 1, 6, 4, 10, 9]"
in_house_12_2,standard,69,67,2.4399982066825032e-05,SUBOPTIMAL,66,"[1, 11, 10, 5, 9, 7, 2, 6, 8, 0, 4]"
in_house_12_20,standard,68,67,2.2199994418770075e-05,SUBOPTIMAL,64,"[4, 8, 9, 11, 0, 1, 6, 7, 2]"
in_house_12_21,standard,68,71,9.599985787644982e-06,SUBOPTIMAL,69,"[7, 6, 0, 8, 4, 5, 10, 1]"
in_house_12_22,standard,66,14,9.600014891475439e-06,SUBOPTIMAL,13,"[3, 5]"
in_house_12_23,standard,66,73,1.0300020221620798e-05,SUBOPTIMAL,72,"[10, 4, 0, 3, 11, 5, 2, 1, 7]"
in_house_12_24,standard,68,60,3.1400006264448166e-05,SUBOPTIMAL,59,"[4, 1, 3, 9, 11, 6, 0, 5, 7]"
in_house_12_3,standard,65,16,4.7999987145885825e-05,SUBOPTIMAL,14,"[3, 1, 7]"
in_house_12_4,standard,64,72,2.1400017431005836e-05,SUBOPTIMAL,71,"[8, 11, 0, 5, 2, 4, 3, 9, 6, 10]"
in_house_12_5,standard,69,50,1.7400016076862812e-05,SUBOPTIMAL,49,"[1, 10, 8, 9, 6, 2]"
in_house_12_6,standard,69,58,1.6400008462369442e-05,SUBOPTIMAL,54,"[5, 10, 2, 0, 4, 3, 9]"
