Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_12_0,standard,66,60,1.4899997040629387e-05,SUBOPTIMAL,49,"[6, 9, 11, 4, 1]"
in_house_12_1,standard,71,42,1.1099997209385037e-05,SUBOPTIMAL,14,"[4, 11]"
in_house_12_10,standard,67,65,1.1600001016631722e-05,SUBOPTIMAL,63,"[6, 4, 7, 1, 3, 2, 0, 5, 8]"
in_house_12_11,standard,70,52,8.600007276982069e-06,SUBOPTIMAL,20,"[11, 3, 9]"
in_house_12_12,standard,66,6,1.0700023267418146e-05,OPTIMAL,6,[0]
in_house_12_13,standard,65,18,1.6900012269616127e-05,OPTIMAL,18,"[2, 5]"
in_house_12_14,standard,66,67,1.4899997040629387e-05,SUBOPTIMAL,59,"[2, 11, 5, 7, 1, 0, 4, 9, 6]"
in_house_12_15,standard,69,82,2.829998265951872e-05,SUBOPTIMAL,74,"[2, 10, 11, 1, 9, 6, 7, 3, 8]"
in_house_12_16,standard,65,39,1.5699974028393626e-05,SUBOPTIMAL,35,"[8, 4, 10, 2, 5, 1, 3]"
in_house_12_17,standard,68,58,9.089999366551638e-05,SUBOPTIMAL,42,"[2, 7, 8, 1, 0]"
in_house_12_18,standard,70,61,4.1799998143687844e-05,SUBOPTIMAL,58,"[4, 9, 8, 2, 6, 0, 1, 10, 11]"
in_house_12_19,standard,67,57,1.1299998732283711e-05,SUBOPTIMAL,43,"[7, 2, 9, 4, 11, 1, 8, 10]"
in_house_12_2,standard,69,67,1.1800002539530396e-05,OPTIMAL,67,"[1, 0, 3, 2, 6, 9, 7, 10, 11, 5, 4]"
in_house_12_20,standard,68,67,2.609999501146376e-05,SUBOPTIMAL,53,"[5, 2, 3, 7, 6, 0, 8, 4, 11]"
in_house_12_21,standard,68,71,1.2900010915473104e-05,SUBOPTIMAL,48,"[11, 6, 5, 3, 2, 10, 7]"
in_house_12_22,standard,66,14,9.800016414374113e-06,SUBOPTIMAL,9,[7]
in_house_12_23,standard,66,73,8.700008038431406e-06,SUBOPTIMAL,65,"[10, 0, 2, 4, 6, 3, 8, 9]"
in_house_12_24,standard,68,60,1.0799994925037026e-05,SUBOPTIMAL,56,"[11, 9, 10, 3, 6, 1, 4, 8, 5]"
in_house_12_3,standard,65,16,1.270000939257443e-05,SUBOPTIMAL,11,"[3, 8]"
in_house_12_4,standard,64,72,1.1099997209385037e-05,SUBOPTIMAL,71,"[10, 7, 0, 9, 11, 4, 3, 8, 5, 2]"
in_house_12_5,standard,69,50,3.510000533424318e-05,SUBOPTIMAL,32,"[0, 2, 11, 8, 9]"
in_house_12_6,standard,69,58,8.090000483207405e-05,SUBOPTIMAL,45,"[9, 0, 4, 1, 2, 5]"
in_house_12_7,standard,67,40,1.550000160932541e-05,SUBOPTIMAL,27,"[2, 0, 6, 9, 10]"
in_house_12_8,standard,67,15,1.4100020052865148e-05,SUBOPTIMAL,7,"[2, 8]"
in_house_12_9,standard,64,42,1.3699987903237343e-05,SUBOPTIMAL,36,"[8, 4, 9, 10, 6, 3, 11, 0, 1]"
in_house_16_0,standard,95,66,1.4699995517730713e-05,SUBOPTIMAL,57,"[13, 8, 1, 3, 6, 12, 2, 0]"
in_house_16_1,standard,96,71,1.610000617802143e-05,SUBOPTIMAL,44,"[6, 0, 13, 15, 5]"
in_house_16_10,standard,98,114,1.479999627918005e-05,SUBOPTIMAL,98,"[15, 9, 10, 11, 7, 5, 6, 8, 12, 0, 1]"
in_house_16_11,standard,98,36,4.4599990360438824e-05,SUBOPTIMAL,14,"[8, 5]"
in_house_16_12,standard,93,52,2.3200002033263445e-05,SUBOPTIMAL,32,"[11, 8, 2, 7, 13]"
in_house_16_13,standard,96,83,1.750001683831215e-05,SUBOPTIMAL,70,"[9, 7, 8, 5, 6, 1, 2, 13, 0]"
in_house_16_14,standard,95,70,1.3100012438371778e-05,SUBOPTIMAL,31,"[3, 15, 2, 12]"
in_house_16_15,standard,95,88,1.2400007108226418e-05,SUBOPTIMAL,65,"[11, 15, 1, 10, 0, 8, 12, 3]"
in_house_16_16,standard,92,112,1.6300007700920105e-05,SUBOPTIMAL,88,"[2, 13, 6, 8, 10, 1, 15, 14, 9, 7]"
in_house_16_17,standard,95,112,7.259999983943999e-05,SUBOPTIMAL,76,"[14, 7, 15, 4, 3, 0, 2, 9, 1]"
in_house_16_18,standard,96,113,6.769999163225293e-05,SUBOPTIMAL,101,"[8, 0, 6, 4, 11, 14, 15, 7, 13, 3, 2, 9, 10, 1, 12]"
in_house_16_19,standard,94,81,1.780001912266016e-05,SUBOPTIMAL,28,"[0, 11, 1, 13, 5]"
in_house_16_2,standard,97,69,1.6699981642886996e-05,SUBOPTIMAL,53,"[14, 11, 15, 3]"
in_house_16_20,standard,97,85,1.3600016245618463e-05,SUBOPTIMAL,59,"[2, 4, 5, 13, 15, 10, 7]"
in_house_16_21,standard,97,75,1.3599987141788006e-05,SUBOPTIMAL,60,"[2, 13, 15, 6, 10, 8]"
in_house_16_22,standard,94,36,1.300001167692244e-05,SUBOPTIMAL,33,"[1, 12, 13, 5]"
in_house_16_23,standard,97,60,2.2299995180219412e-05,SUBOPTIMAL,43,"[11, 10, 7, 3, 14]"
in_house_16_24,standard,99,126,1.9800005247816443e-05,SUBOPTIMAL,111,"[1, 7, 8, 12, 4, 9, 14, 10, 0, 3, 2, 6, 13, 5]"
in_house_16_3,standard,95,125,7.020001066848636e-05,SUBOPTIMAL,89,"[5, 0, 4, 15, 7, 14, 12, 9, 3, 13]"
in_house_16_4,standard,95,105,1.7699989257380366e-05,SUBOPTIMAL,83,"[10, 4, 15, 1, 11, 9, 3, 13, 0, 2]"
in_house_16_5,standard,90,47,1.4399993233382702e-05,SUBOPTIMAL,16,"[2, 5, 15]"
in_house_16_6,standard,99,113,1.2200005585327744e-05,SUBOPTIMAL,76,"[11, 7, 13, 10, 1, 6]"
in_house_16_7,standard,97,132,1.3500015484169126e-05,SUBOPTIMAL,107,"[0, 2, 4, 6, 13, 5, 1, 7, 10, 14, 8, 11, 15]"
in_house_16_8,standard,101,145,1.6999983927235007e-05,SUBOPTIMAL,137,"[7, 14, 15, 12, 2, 10, 5, 13, 8, 11, 6, 1, 3, 9]"
in_house_16_9,standard,93,96,1.580000389367342e-05,SUBOPTIMAL,58,"[15, 10, 3, 5, 6, 9, 12]"
in_house_20_0,standard,127,144,1.9500002963468432e-05,SUBOPTIMAL,84,"[1, 5, 7, 19, 8, 3, 4, 0]"
in_house_20_1,standard,125,53,2.7300004148855805e-05,SUBOPTIMAL,38,"[13, 9, 19]"
in_house_20_10,standard,128,230,4.7600013203918934e-05,SUBOPTIMAL,216,"[12, 14, 11, 18, 2, 10, 3, 1, 17, 6, 5, 16, 9, 7, 13, 4, 19, 8]"
in_house_20_11,standard,120,138,1.9099999917671084e-05,SUBOPTIMAL,119,"[17, 10, 8, 4, 11, 3, 12, 1, 15, 16, 14]"
in_house_20_12,standard,121,211,1.6799982404336333e-05,SUBOPTIMAL,199,"[4, 8, 12, 18, 7, 15, 19, 13, 0, 17, 11, 14, 5, 10, 2, 1, 16, 6, 3]"
in_house_20_13,standard,128,217,1.5900004655122757e-05,SUBOPTIMAL,200,"[0, 7, 10, 8, 5, 14, 1, 18, 11, 4, 2, 9, 13, 17, 6, 16, 12]"
in_house_20_14,standard,125,70,1.5900004655122757e-05,SUBOPTIMAL,39,"[8, 11, 10, 13]"
in_house_20_15,standard,122,58,1.8700025975704193e-05,SUBOPTIMAL,55,"[15, 19, 0, 16]"
in_house_20_16,standard,128,67,2.7799978852272034e-05,SUBOPTIMAL,53,"[0, 5, 2]"
in_house_20_17,standard,123,128,1.8499995348975062e-05,SUBOPTIMAL,102,"[18, 8, 13, 1, 17, 14, 11, 15, 12, 2, 6]"
in_house_20_18,standard,124,197,1.8799997633323073e-05,SUBOPTIMAL,175,"[4, 1, 15, 14, 16, 7, 8, 10, 11, 13, 9, 2, 18, 0, 19, 17, 3]"
in_house_20_19,standard,132,164,1.6200006939470768e-05,SUBOPTIMAL,136,"[4, 8, 3, 7, 16, 13, 0, 14, 5, 11, 6, 17, 12]"
in_house_20_2,standard,124,132,1.680001150816679e-05,SUBOPTIMAL,85,"[3, 11, 0, 12, 6, 4, 19, 17, 5, 14]"
in_house_20_20,standard,124,162,1.580000389367342e-05,SUBOPTIMAL,138,"[1, 15, 0, 14, 2, 16, 10, 9, 4, 8, 12, 7, 5, 17, 3]"
in_house_20_21,standard,124,138,1.5300000086426735e-05,SUBOPTIMAL,80,"[12, 13, 1, 17, 19, 18, 16, 2, 6, 7, 8]"
in_house_20_22,standard,122,224,1.759998849593103e-05,SUBOPTIMAL,156,"[17, 11, 0, 2, 3, 14, 7, 6, 10, 16, 15, 9, 19, 4, 8]"
in_house_20_23,standard,123,141,2.2100022761151195e-05,SUBOPTIMAL,79,"[0, 9, 4, 13, 3, 10, 2, 7]"
in_house_20_24,standard,121,128,5.9900019550696015e-05,SUBOPTIMAL,51,"[2, 18, 19, 12, 10, 1]"
in_house_20_3,standard,123,175,2.0100007532164454e-05,SUBOPTIMAL,149,"[18, 1, 14, 19, 13, 5, 10, 4, 3, 16, 15]"
