Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_12_0,standard,66,60,1.270000939257443e-05,OPTIMAL,60,"[9, 4, 0, 1, 11, 5, 10]"
in_house_12_1,standard,71,42,8.400005754083395e-06,OPTIMAL,42,"[5, 9, 8, 2]"
in_house_12_10,standard,67,65,1.1900003300979733e-05,OPTIMAL,65,"[0, 1, 5, 3, 7, 8, 11, 2]"
in_house_12_11,standard,70,52,8.199975127354264e-06,OPTIMAL,52,"[1, 8, 9, 6, 4]"
in_house_12_12,standard,66,6,7.299997378140688e-06,OPTIMAL,6,[0]
in_house_12_13,standard,65,18,7.700000423938036e-06,OPTIMAL,18,"[2, 5]"
in_house_12_14,standard,66,67,7.599999662488699e-06,SUBOPTIMAL,65,"[2, 8, 7, 11, 1, 9, 3, 0]"
in_house_12_15,standard,69,82,9.200011845678091e-06,OPTIMAL,82,"[2, 6, 7, 1, 5, 3, 10, 8]"
in_house_12_16,standard,65,39,3.0399998649954796e-05,OPTIMAL,39,"[10, 5, 7, 2, 3, 11, 1]"
in_house_12_17,standard,68,58,4.049998824484646e-05,OPTIMAL,58,"[0, 2, 5, 7, 11]"
in_house_12_18,standard,70,61,2.9000017093494534e-05,SUBOPTIMAL,60,"[1, 8, 10, 2, 4, 5, 9, 0, 6]"
in_house_12_19,standard,67,57,1.2200005585327744e-05,OPTIMAL,57,"[1, 6, 2, 0, 11, 4, 7]"
in_house_12_2,standard,69,67,9.499985026195645e-06,OPTIMAL,67,"[1, 10, 2, 9, 6, 11, 4, 5, 0, 3, 7]"
in_house_12_20,standard,68,67,1.0899995686486363e-05,SUBOPTIMAL,66,"[1, 6, 11, 10, 8, 4, 7, 0]"
in_house_12_21,standard,68,71,1.400001929141581e-05,SUBOPTIMAL,69,"[0, 8, 9, 4, 5, 7, 10]"
in_house_12_22,standard,66,14,1.2900010915473104e-05,OPTIMAL,14,"[3, 2]"
in_house_12_23,standard,66,73,1.1199997970834374e-05,SUBOPTIMAL,72,"[10, 4, 0, 3, 1, 6, 2, 5]"
in_house_12_24,standard,68,60,1.8099992303177714e-05,OPTIMAL,60,"[9, 4, 11, 1, 3, 0, 6, 2, 7]"
in_house_12_3,standard,65,16,2.540001878514886e-05,SUBOPTIMAL,11,[0]
in_house_12_4,standard,64,72,9.299983503296971e-06,OPTIMAL,72,"[5, 0, 8, 11, 3, 4, 6, 7, 2, 9]"
in_house_12_5,standard,69,50,1.0000017937272787e-05,SUBOPTIMAL,48,"[8, 10, 1, 6, 5]"
in_house_12_6,standard,69,58,1.2100004823878407e-05,OPTIMAL,58,"[4, 6, 10, 9, 2, 5]"
in_house_12_7,standard,67,40,1.0899995686486363e-05,OPTIMAL,40,"[1, 2, 4, 7]"
in_house_12_8,standard,67,15,1.0799994925037026e-05,OPTIMAL,15,"[5, 8]"
in_house_12_9,standard,64,42,9.799987310543656e-06,OPTIMAL,42,"[3, 6, 11, 5, 10, 1, 2, 7, 9]"
in_house_16_0,standard,95,66,9.599985787644982e-06,SUBOPTIMAL,59,"[9, 10, 1, 13]"
in_house_16_1,standard,96,71,9.400013368576765e-06,SUBOPTIMAL,54,"[9, 11, 4, 6]"
in_house_16_10,standard,98,114,1.2400007108226418e-05,SUBOPTIMAL,109,"[6, 11, 5, 10, 13, 14, 1, 15, 4]"
in_house_16_11,standard,98,36,1.0199990356341004e-05,SUBOPTIMAL,26,"[10, 14]"
in_house_16_12,standard,93,52,1.4599994756281376e-05,SUBOPTIMAL,41,"[9, 13, 3]"
in_house_16_13,standard,96,83,2.7300004148855805e-05,OPTIMAL,83,"[0, 13, 1, 15, 8, 10, 3, 9]"
in_house_16_14,standard,95,70,1.5199999324977398e-05,SUBOPTIMAL,64,"[14, 12, 6, 7, 13]"
in_house_16_15,standard,95,88,1.300001167692244e-05,OPTIMAL,88,"[11, 5, 1, 4, 10, 3, 13]"
in_house_16_16,standard,92,112,1.069999416358769e-05,OPTIMAL,112,"[1, 2, 3, 6, 4, 14, 9, 10, 5, 15, 8]"
in_house_16_17,standard,95,112,1.1199997970834374e-05,SUBOPTIMAL,111,"[9, 4, 5, 8, 1, 15, 10, 13, 14, 0]"
in_house_16_18,standard,96,113,9.99998883344233e-06,OPTIMAL,113,"[5, 7, 0, 1, 8, 10, 12, 14, 6, 13, 4, 9, 11, 3]"
in_house_16_19,standard,94,81,1.7000013031065464e-05,OPTIMAL,81,"[9, 4, 11, 14, 15, 10, 6]"
in_house_16_2,standard,97,69,1.4199991710484028e-05,SUBOPTIMAL,68,"[11, 14, 12, 2, 3]"
in_house_16_20,standard,97,85,9.799987310543656e-06,SUBOPTIMAL,60,"[0, 8, 5, 14]"
in_house_16_21,standard,97,75,1.09999964479357e-05,SUBOPTIMAL,62,"[5, 10, 6, 14, 8]"
in_house_16_22,standard,94,36,1.1000025551766157e-05,SUBOPTIMAL,31,"[12, 7]"
in_house_16_23,standard,97,60,1.0099989594891667e-05,OPTIMAL,60,"[8, 12, 11, 14, 0]"
in_house_16_24,standard,99,126,1.0799994925037026e-05,OPTIMAL,126,"[9, 6, 10, 13, 0, 11, 14, 15, 1, 5, 3, 4, 12, 2]"
