Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_12_0,standard,67,63,1.3400102034211159e-05,OPTIMAL,63,"[11, 1, 5, 7, 2, 9, 8]"
in_house_12_1,standard,67,29,1.780001912266016e-05,SUBOPTIMAL,21,"[10, 5, 3]"
in_house_12_10,standard,66,45,1.7799902707338333e-05,SUBOPTIMAL,43,"[7, 0, 5, 11, 1]"
in_house_12_11,standard,67,75,1.4999997802078724e-05,OPTIMAL,75,"[11, 9, 6, 1, 0, 4, 2, 7, 3, 5, 10]"
in_house_12_12,standard,63,16,1.4299992471933365e-05,SUBOPTIMAL,13,"[11, 5]"
in_house_12_13,standard,68,79,1.7600017599761486e-05,OPTIMAL,79,"[1, 3, 10, 6, 7, 2, 4, 8, 0, 9]"
in_house_12_14,standard,68,55,1.6200006939470768e-05,OPTIMAL,55,"[1, 3, 0, 2, 6, 10, 5]"
in_house_12_15,standard,71,13,1.4399993233382702e-05,OPTIMAL,13,"[8, 6]"
in_house_12_16,standard,66,4,1.6999896615743637e-05,OPTIMAL,4,[9]
in_house_12_17,standard,66,29,1.8700025975704193e-05,OPTIMAL,29,"[9, 4, 0, 2]"
in_house_12_18,standard,70,34,2.6399968191981316e-05,OPTIMAL,34,"[7, 0, 4]"
in_house_12_19,standard,66,18,2.0900042727589607e-05,OPTIMAL,18,"[10, 1]"
in_house_12_2,standard,67,30,1.7699901945888996e-05,SUBOPTIMAL,29,"[9, 4, 10]"
in_house_12_20,standard,69,7,2.080004196614027e-05,OPTIMAL,7,"[10, 4]"
in_house_12_21,standard,67,80,1.6400008462369442e-05,SUBOPTIMAL,78,"[11, 7, 8, 1, 4, 9, 2, 0, 6, 3, 5]"
in_house_12_22,standard,70,55,1.8900027498602867e-05,SUBOPTIMAL,52,"[11, 4, 3, 5, 2, 1, 10]"
in_house_12_23,standard,67,45,1.6400008462369442e-05,OPTIMAL,45,"[10, 11, 7, 4, 8]"
in_house_12_24,standard,69,74,8.490006439387798e-05,OPTIMAL,74,"[0, 7, 10, 3, 8, 9, 4, 1, 5, 2, 11]"
in_house_12_3,standard,67,57,2.1700048819184303e-05,OPTIMAL,57,"[7, 8, 3, 5, 10, 4, 0, 1]"
in_house_12_4,standard,66,37,1.780001912266016e-05,OPTIMAL,37,"[9, 7, 0, 3, 6, 2]"
in_house_12_5,standard,63,54,1.580000389367342e-05,SUBOPTIMAL,53,"[2, 1, 0, 4, 3, 7, 9, 11, 6]"
in_house_12_6,standard,73,85,1.810002140700817e-05,OPTIMAL,85,"[3, 1, 2, 7, 4, 5, 9, 10, 11, 8, 0]"
in_house_12_7,standard,69,15,1.2599979527294636e-05,OPTIMAL,15,"[2, 5]"
in_house_12_8,standard,70,11,1.1499971151351929e-05,OPTIMAL,11,[0]
in_house_12_9,standard,66,84,7.770000956952572e-05,OPTIMAL,84,"[1, 2, 4, 8, 0, 10, 11, 6, 9, 7, 3]"
in_house_16_0,standard,96,69,2.1999934688210487e-05,OPTIMAL,69,"[1, 0, 12, 3, 8, 9]"
in_house_16_1,standard,102,160,1.989991869777441e-05,OPTIMAL,160,"[3, 14, 6, 7, 5, 12, 0, 2, 11, 1, 8, 13, 4, 10, 9]"
in_house_16_10,standard,100,97,1.719989813864231e-05,OPTIMAL,97,"[13, 7, 0, 6, 12, 15, 9, 8]"
in_house_16_11,standard,99,140,1.7700018361210823e-05,OPTIMAL,140,"[14, 0, 10, 4, 3, 11, 7, 8, 2, 13, 5, 9, 6]"
in_house_16_12,standard,97,129,1.7900019884109497e-05,OPTIMAL,129,"[9, 12, 1, 0, 2, 13, 8, 11, 3, 15, 5, 7, 10, 6, 14]"
in_house_16_13,standard,98,82,1.3999990187585354e-05,OPTIMAL,82,"[7, 6, 2, 9, 1, 11, 10]"
in_house_16_14,standard,100,33,1.4999997802078724e-05,OPTIMAL,33,"[6, 1, 2]"
in_house_16_15,standard,94,38,2.329994458705187e-05,OPTIMAL,38,"[3, 6, 11]"
in_house_16_16,standard,96,107,1.680001150816679e-05,OPTIMAL,107,"[11, 5, 4, 12, 0, 3, 1, 6, 8, 14, 9, 15, 7, 10, 13]"
in_house_16_17,standard,96,80,2.4300068616867065e-05,OPTIMAL,80,"[10, 0, 13, 15, 4, 8, 1, 14, 7]"
in_house_16_18,standard,97,59,2.2600055672228336e-05,OPTIMAL,59,"[13, 0, 3, 12, 2]"
in_house_16_19,standard,101,157,4.7200010158121586e-05,OPTIMAL,157,"[1, 2, 9, 12, 15, 3, 5, 11, 10, 6, 13, 14, 4, 7]"
in_house_16_2,standard,101,117,2.519995905458927e-05,OPTIMAL,117,"[1, 9, 12, 8, 6, 0, 2, 10, 14]"
in_house_16_20,standard,96,142,2.4399952962994576e-05,OPTIMAL,142,"[6, 3, 8, 13, 7, 5, 11, 2, 1, 4, 9, 12, 15, 14, 10]"
in_house_16_21,standard,100,26,1.7700018361210823e-05,SUBOPTIMAL,25,"[10, 9, 12]"
in_house_16_22,standard,97,25,2.219993621110916e-05,SUBOPTIMAL,23,"[12, 6, 9]"
in_house_16_23,standard,99,135,2.6999972760677338e-05,OPTIMAL,135,"[11, 14, 12, 10, 7, 0, 1, 9, 5, 8, 13, 4, 6, 15]"
in_house_16_24,standard,91,61,2.289994154125452e-05,OPTIMAL,61,"[2, 13, 8, 15, 5, 1]"
in_house_16_3,standard,101,143,2.5600078515708447e-05,OPTIMAL,143,"[1, 7, 8, 3, 2, 9, 11, 14, 0, 13, 5, 12, 10, 15]"
