Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_12_0,standard,67,63,1.9000028260052204e-05,SUBOPTIMAL,33,"[4, 8, 3, 10, 7, 1]"
in_house_12_1,standard,67,29,1.9400031305849552e-05,SUBOPTIMAL,25,"[3, 6, 10]"
in_house_12_10,standard,66,45,1.2400094419717789e-05,SUBOPTIMAL,38,"[7, 11, 5, 1, 3]"
in_house_12_11,standard,67,75,1.3199984095990658e-05,OPTIMAL,75,"[9, 4, 11, 0, 7, 6, 5, 2, 3, 1, 10]"
in_house_12_12,standard,63,16,1.6700010746717453e-05,SUBOPTIMAL,14,"[2, 11]"
in_house_12_13,standard,68,79,1.5700003132224083e-05,SUBOPTIMAL,67,"[8, 3, 4, 7, 1, 0, 6, 9, 11]"
in_house_12_14,standard,68,55,1.1999974958598614e-05,SUBOPTIMAL,34,"[10, 8, 6, 1, 11, 3]"
in_house_12_15,standard,71,13,1.2199976481497288e-05,SUBOPTIMAL,9,[1]
in_house_12_16,standard,66,4,4.069996066391468e-05,OPTIMAL,4,[9]
in_house_12_17,standard,66,29,1.5099998563528061e-05,SUBOPTIMAL,27,"[1, 9, 10, 4]"
in_house_12_18,standard,70,34,2.2699940018355846e-05,SUBOPTIMAL,15,"[0, 10, 1]"
in_house_12_19,standard,66,18,1.9299914129078388e-05,SUBOPTIMAL,14,"[10, 4]"
in_house_12_2,standard,67,30,1.759990118443966e-05,SUBOPTIMAL,24,"[4, 6]"
in_house_12_20,standard,69,7,1.1999974958598614e-05,OPTIMAL,7,"[10, 4]"
in_house_12_21,standard,67,80,2.1400046534836292e-05,SUBOPTIMAL,78,"[0, 11, 6, 7, 3, 9, 4, 8, 5, 1, 2]"
in_house_12_22,standard,70,55,2.2499938495457172e-05,SUBOPTIMAL,45,"[1, 7, 2, 8, 11, 5]"
in_house_12_23,standard,67,45,1.2899981811642647e-05,SUBOPTIMAL,20,"[3, 1, 10]"
in_house_12_24,standard,69,74,1.2399978004395962e-05,SUBOPTIMAL,68,"[7, 11, 3, 0, 2, 6, 10, 9, 1, 4, 5]"
in_house_12_3,standard,67,57,2.0999927073717117e-05,SUBOPTIMAL,41,"[6, 9, 10, 3, 4, 5, 0]"
in_house_12_4,standard,66,37,2.4699955247342587e-05,SUBOPTIMAL,28,"[7, 9, 6, 0, 11]"
in_house_12_5,standard,63,54,1.9600032828748226e-05,SUBOPTIMAL,35,"[7, 9, 4, 5, 0, 8]"
in_house_12_6,standard,73,85,2.210005186498165e-05,OPTIMAL,85,"[4, 10, 8, 7, 5, 3, 1, 2, 11, 9, 6]"
in_house_12_7,standard,69,15,2.3799948394298553e-05,SUBOPTIMAL,5,[9]
in_house_12_8,standard,70,11,1.9300030544400215e-05,SUBOPTIMAL,8,[6]
in_house_12_9,standard,66,84,2.1499930880963802e-05,SUBOPTIMAL,78,"[1, 6, 2, 5, 4, 10, 11, 7, 0, 8, 3]"
in_house_16_0,standard,96,69,2.429995220154524e-05,SUBOPTIMAL,22,"[7, 10, 9]"
in_house_16_1,standard,102,160,2.5399960577487946e-05,SUBOPTIMAL,146,"[5, 6, 15, 9, 14, 2, 1, 4, 12, 10, 3, 0, 13, 8]"
in_house_16_10,standard,100,97,2.6999972760677338e-05,SUBOPTIMAL,59,"[13, 0, 1, 8, 4, 7]"
in_house_16_11,standard,99,140,2.410006709396839e-05,SUBOPTIMAL,120,"[8, 5, 14, 10, 4, 13, 0, 2, 15, 3, 12, 11, 6]"
in_house_16_12,standard,97,129,2.6899971999228e-05,OPTIMAL,129,"[14, 9, 8, 5, 12, 4, 2, 7, 0, 15, 3, 13, 1, 10, 11]"
in_house_16_13,standard,98,82,1.5400000847876072e-05,SUBOPTIMAL,77,"[5, 2, 11, 14, 6, 9, 7]"
in_house_16_14,standard,100,33,1.6000005416572094e-05,SUBOPTIMAL,12,[14]
in_house_16_15,standard,94,38,4.330009687691927e-05,SUBOPTIMAL,27,"[6, 4, 11]"
in_house_16_16,standard,96,107,2.759997732937336e-05,SUBOPTIMAL,102,"[4, 7, 13, 14, 9, 0, 11, 2, 8, 12, 1, 15, 5, 10, 3]"
in_house_16_17,standard,96,80,0.00010010006371885538,SUBOPTIMAL,48,"[7, 4, 12, 3, 0, 2]"
in_house_16_18,standard,97,59,2.180004958063364e-05,SUBOPTIMAL,58,"[0, 12, 13, 3, 10]"
in_house_16_19,standard,101,157,2.4300068616867065e-05,SUBOPTIMAL,143,"[5, 6, 2, 11, 4, 8, 3, 14, 9, 15, 13, 7, 12, 10]"
in_house_16_2,standard,101,117,2.2400054149329662e-05,SUBOPTIMAL,92,"[3, 5, 13, 10, 14, 8, 12, 0, 1]"
in_house_16_20,standard,96,142,1.6600009985268116e-05,SUBOPTIMAL,128,"[11, 0, 12, 15, 13, 5, 6, 3, 8, 1, 14, 2, 4, 10]"
in_house_16_21,standard,100,26,1.2999982573091984e-05,SUBOPTIMAL,25,"[2, 10, 9]"
in_house_16_22,standard,97,25,1.3899989426136017e-05,SUBOPTIMAL,21,"[5, 12, 9]"
in_house_16_23,standard,99,135,0.00010559998918324709,SUBOPTIMAL,119,"[1, 14, 12, 13, 8, 9, 11, 3, 0, 15, 2, 7, 6, 5]"
in_house_16_24,standard,91,61,1.6700010746717453e-05,SUBOPTIMAL,29,"[8, 0, 14, 1, 13]"
in_house_16_3,standard,101,143,2.659996971487999e-05,SUBOPTIMAL,139,"[7, 10, 14, 9, 5, 1, 15, 12, 8, 13, 3, 4, 11, 2]"
in_house_16_4,standard,91,120,1.4999997802078724e-05,SUBOPTIMAL,104,"[8, 4, 7, 11, 10, 1, 0, 6, 12, 5, 15, 13, 14]"
in_house_16_5,standard,99,127,1.4100107364356518e-05,SUBOPTIMAL,117,"[7, 15, 2, 10, 5, 9, 13, 6, 11, 12, 3, 8, 14, 0]"
in_house_16_6,standard,91,68,1.98000343516469e-05,SUBOPTIMAL,33,"[5, 11, 13, 1, 15]"
in_house_16_7,standard,96,60,4.079996142536402e-05,SUBOPTIMAL,35,"[8, 12, 13, 6, 11]"
in_house_16_8,standard,96,134,1.6700010746717453e-05,SUBOPTIMAL,126,"[6, 1, 13, 14, 11, 0, 3, 2, 4, 10, 8, 5, 15, 9]"
