Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_12_0,standard,67,63,1.009996049106121e-05,OPTIMAL,63,"[9, 11, 7, 2, 6, 5, 1]"
in_house_12_1,standard,67,29,6.400048732757568e-06,OPTIMAL,29,"[6, 10, 5]"
in_house_12_10,standard,66,45,6.4999330788850784e-06,OPTIMAL,45,"[7, 11, 9, 0, 5]"
in_house_12_11,standard,67,75,7.2999391704797745e-06,OPTIMAL,75,"[11, 4, 6, 1, 3, 7, 0, 2, 5, 9, 8]"
in_house_12_12,standard,63,16,1.1399970389902592e-05,OPTIMAL,16,"[9, 11]"
in_house_12_13,standard,68,79,1.0199961252510548e-05,OPTIMAL,79,"[1, 8, 7, 3, 10, 0, 9, 2, 6, 4]"
in_house_12_14,standard,68,55,7.70005863159895e-06,OPTIMAL,55,"[1, 2, 0, 6, 3, 7]"
in_house_12_15,standard,71,13,7.900060154497623e-06,SUBOPTIMAL,9,[1]
in_house_12_16,standard,66,4,7.900060154497623e-06,OPTIMAL,4,[9]
in_house_12_17,standard,66,29,6.6999346017837524e-06,OPTIMAL,29,"[0, 9, 2, 4]"
in_house_12_18,standard,70,34,8.699949830770493e-06,OPTIMAL,34,"[4, 0, 7]"
in_house_12_19,standard,66,18,7.0999376475811005e-06,OPTIMAL,18,"[10, 1]"
in_house_12_2,standard,67,30,7.5999414548277855e-06,SUBOPTIMAL,24,"[4, 6]"
in_house_12_20,standard,69,7,9.499955922365189e-06,OPTIMAL,7,"[10, 4]"
in_house_12_21,standard,67,80,1.0999967344105244e-05,OPTIMAL,80,"[8, 9, 4, 1, 0, 11, 2, 7, 10, 3]"
in_house_12_22,standard,70,55,9.09995287656784e-06,SUBOPTIMAL,42,"[5, 8, 0, 1]"
in_house_12_23,standard,67,45,1.4499993994832039e-05,OPTIMAL,45,"[7, 10, 11, 4, 8]"
in_house_12_24,standard,69,74,1.0200077667832375e-05,OPTIMAL,74,"[10, 7, 0, 9, 8, 2, 1, 4, 11, 5, 3]"
in_house_12_3,standard,67,57,1.2599979527294636e-05,SUBOPTIMAL,55,"[5, 8, 4, 7, 10, 0, 2]"
in_house_12_4,standard,66,37,3.120000474154949e-05,OPTIMAL,37,"[6, 0, 3, 9, 7, 2]"
in_house_12_5,standard,63,54,9.600073099136353e-06,OPTIMAL,54,"[2, 1, 5, 3, 7, 9, 4, 0]"
in_house_12_6,standard,73,85,1.2699980288743973e-05,OPTIMAL,85,"[5, 1, 4, 7, 2, 9, 3, 11, 8, 0, 10]"
in_house_12_7,standard,69,15,1.3100099749863148e-05,OPTIMAL,15,"[5, 2]"
in_house_12_8,standard,70,11,1.2299977242946625e-05,OPTIMAL,11,[0]
in_house_12_9,standard,66,84,1.4299992471933365e-05,OPTIMAL,84,"[10, 8, 6, 9, 11, 0, 1, 7, 2, 4, 3]"
in_house_16_0,standard,96,69,1.550000160932541e-05,SUBOPTIMAL,57,"[1, 3, 8, 7]"
in_house_16_1,standard,102,160,2.220005262643099e-05,OPTIMAL,160,"[3, 5, 0, 6, 14, 7, 12, 1, 8, 13, 9, 4, 10, 2, 11]"
in_house_16_10,standard,100,97,5.510007031261921e-05,SUBOPTIMAL,95,"[0, 10, 12, 7, 13, 15, 9]"
in_house_16_11,standard,99,140,5.110003985464573e-05,OPTIMAL,140,"[4, 11, 10, 3, 7, 14, 2, 13, 0, 9, 8, 5, 1]"
in_house_16_12,standard,97,129,2.1200045011937618e-05,OPTIMAL,129,"[1, 8, 12, 2, 9, 11, 0, 3, 13, 5, 7, 15, 4, 6, 10]"
in_house_16_13,standard,98,82,9.499955922365189e-06,SUBOPTIMAL,78,"[0, 6, 2, 9, 7, 1]"
in_house_16_14,standard,100,33,9.600073099136353e-06,OPTIMAL,33,"[1, 6, 2]"
in_house_16_15,standard,94,38,9.599956683814526e-06,SUBOPTIMAL,16,[2]
in_house_16_16,standard,96,107,1.4899997040629387e-05,OPTIMAL,107,"[5, 4, 0, 12, 1, 11, 6, 7, 9, 3, 8, 10, 14, 15, 13]"
in_house_16_17,standard,96,80,1.6300007700920105e-05,SUBOPTIMAL,75,"[8, 10, 0, 3, 14, 13, 15, 7]"
in_house_16_18,standard,97,59,1.1899974197149277e-05,SUBOPTIMAL,47,"[2, 13, 10]"
in_house_16_19,standard,101,157,1.0599964298307896e-05,OPTIMAL,157,"[1, 10, 2, 6, 11, 12, 3, 9, 4, 15, 13, 5, 7, 14]"
in_house_16_2,standard,101,117,1.0199961252510548e-05,SUBOPTIMAL,115,"[6, 0, 1, 8, 9, 5, 2, 12, 3]"
in_house_16_20,standard,96,142,1.279998105019331e-05,OPTIMAL,142,"[8, 13, 1, 2, 4, 6, 7, 3, 5, 12, 9, 10, 14, 15, 11]"
in_house_16_21,standard,100,26,1.179997343569994e-05,OPTIMAL,26,"[8, 9]"
in_house_16_22,standard,97,25,1.5099998563528061e-05,SUBOPTIMAL,16,[14]
in_house_16_23,standard,99,135,1.1499971151351929e-05,OPTIMAL,135,"[0, 7, 13, 4, 5, 6, 9, 10, 11, 1, 12, 14, 3, 8]"
in_house_16_24,standard,91,61,1.6200006939470768e-05,SUBOPTIMAL,51,"[5, 15, 3, 2]"
in_house_16_3,standard,101,143,1.1999974958598614e-05,OPTIMAL,143,"[8, 9, 1, 14, 3, 11, 2, 5, 10, 12, 7, 0, 15, 13]"
in_house_16_4,standard,91,120,9.399955160915852e-06,OPTIMAL,120,"[0, 10, 12, 15, 2, 7, 5, 3, 6, 14, 9, 13, 4, 1]"
in_house_16_5,standard,99,127,1.4299992471933365e-05,SUBOPTIMAL,126,"[14, 3, 15, 8, 1, 13, 7, 0, 4, 10, 11, 6, 9]"
in_house_16_6,standard,91,68,4.9200025387108326e-05,SUBOPTIMAL,56,"[9, 0, 4, 6, 15]"
in_house_16_7,standard,96,60,0.00021630001720041037,SUBOPTIMAL,57,"[7, 2, 9, 12, 11]"
in_house_16_8,standard,96,134,1.8900027498602867e-05,OPTIMAL,134,"[13, 5, 4, 6, 14, 15, 1, 9, 11, 0, 12, 7, 3, 2]"
in_house_16_9,standard,93,121,1.0299962013959885e-05,SUBOPTIMAL,109,"[2, 6, 5, 3, 9, 10, 12, 13, 8, 14]"
in_house_20_0,standard,122,155,1.1100084520876408e-05,OPTIMAL,155,"[0, 16, 17, 5, 8, 18, 7, 13, 6, 12, 15, 1, 2]"
in_house_20_1,standard,125,62,1.580000389367342e-05,SUBOPTIMAL,56,"[9, 15, 4]"
in_house_20_10,standard,123,191,1.4699995517730713e-05,SUBOPTIMAL,189,"[7, 16, 13, 2, 10, 9, 17, 0, 18, 1, 11, 12, 14, 4, 6, 5]"
in_house_20_11,standard,117,153,1.3199984095990658e-05,SUBOPTIMAL,152,"[18, 4, 16, 19, 0, 5, 11, 10, 15, 17, 1, 9, 7, 8, 2, 14, 3]"
in_house_20_12,standard,120,114,2.010003663599491e-05,SUBOPTIMAL,111,"[3, 15, 6, 10, 17, 7, 18, 12, 9]"
in_house_20_13,standard,124,104,1.9900035113096237e-05,SUBOPTIMAL,95,"[7, 5, 9, 19, 10, 13]"
in_house_20_14,standard,123,159,1.550000160932541e-05,OPTIMAL,159,"[14, 7, 11, 18, 5, 9, 13, 1, 10, 16, 12, 19, 2, 3, 6, 15, 8, 4, 17]"
in_house_20_15,standard,129,181,1.479999627918005e-05,OPTIMAL,181,"[13, 3, 5, 10, 1, 11, 17, 4, 18, 12, 7]"
in_house_20_16,standard,126,200,1.6400008462369442e-05,OPTIMAL,200,"[13, 10, 1, 4, 15, 11, 19, 7, 17, 18, 5, 14, 8, 12, 9, 16]"
in_house_20_17,standard,123,67,1.1199968867003918e-05,OPTIMAL,67,"[14, 6, 0, 17, 4]"
in_house_20_18,standard,125,101,9.899958968162537e-06,SUBOPTIMAL,93,"[7, 15, 11, 18, 1, 4]"
in_house_20_19,standard,129,156,1.5900004655122757e-05,SUBOPTIMAL,149,"[11, 12, 9, 10, 15, 16, 17, 18]"
in_house_20_2,standard,130,234,1.2899981811642647e-05,OPTIMAL,234,"[0, 16, 6, 17, 10, 13, 2, 5, 8, 14, 12, 19, 15, 3, 7, 9]"
in_house_20_20,standard,130,235,2.7799978852272034e-05,OPTIMAL,235,"[0, 1, 10, 12, 19, 8, 17, 15, 5, 2, 11, 13, 18, 6, 14, 16]"
in_house_20_21,standard,121,169,3.070000093430281e-05,SUBOPTIMAL,165,"[10, 5, 3, 4, 6, 12, 17, 9, 14, 19, 18, 0, 13]"
in_house_20_22,standard,125,63,1.1599971912801266e-05,SUBOPTIMAL,42,"[0, 11, 15]"
in_house_20_23,standard,118,58,1.0899966582655907e-05,OPTIMAL,58,"[0, 1, 11, 19]"
in_house_20_24,standard,132,72,1.989991869777441e-05,SUBOPTIMAL,65,"[6, 19, 12, 14, 16]"
in_house_20_3,standard,127,167,1.279998105019331e-05,SUBOPTIMAL,159,"[4, 12, 6, 7, 8, 13, 3, 1, 11, 9, 2]"
in_house_20_4,standard,118,19,1.0999967344105244e-05,OPTIMAL,19,[10]
in_house_20_5,standard,122,158,2.6699970476329327e-05,OPTIMAL,158,"[6, 4, 18, 16, 2, 12, 5, 14, 9, 8, 11, 19, 0, 1, 7, 13, 15, 17]"
in_house_20_6,standard,131,96,1.9299914129078388e-05,SUBOPTIMAL,81,"[14, 12, 11, 5, 0]"
in_house_20_7,standard,127,107,5.979998968541622e-05,SUBOPTIMAL,71,"[8, 11, 2, 10]"
in_house_20_8,standard,127,47,4.0499959141016006e-05,OPTIMAL,47,"[17, 7, 12]"
in_house_20_9,standard,124,144,1.1299969628453255e-05,SUBOPTIMAL,94,"[0, 7, 8, 10, 12]"
in_house_24_0,standard,156,300,1.850002445280552e-05,SUBOPTIMAL,293,"[0, 11, 17, 18, 5, 8, 21, 20, 10, 12, 13, 6, 7, 14, 23, 1]"
in_house_24_1,standard,153,184,1.8200022168457508e-05,SUBOPTIMAL,170,"[7, 5, 9, 11, 20, 16, 22, 13, 14]"
in_house_24_10,standard,151,56,7.069995626807213e-05,SUBOPTIMAL,47,"[12, 11]"
in_house_24_11,standard,143,202,1.3199984095990658e-05,SUBOPTIMAL,179,"[7, 15, 5, 13, 18, 1, 6, 12]"
in_house_24_12,standard,154,304,1.4899997040629387e-05,OPTIMAL,304,"[22, 17, 5, 14, 0, 2, 18, 9, 21, 23, 19, 10, 11, 8, 16, 20, 13, 6, 12]"
in_house_24_13,standard,152,198,1.6400008462369442e-05,SUBOPTIMAL,180,"[0, 8, 23, 4, 10, 2, 14, 22, 21, 17, 6]"
in_house_24_14,standard,151,23,1.7000013031065464e-05,OPTIMAL,23,"[19, 16]"
in_house_24_15,standard,151,280,7.599999662488699e-05,SUBOPTIMAL,273,"[2, 12, 21, 7, 15, 19, 20, 3, 13, 6, 11, 22, 18, 8, 9, 1, 4, 17]"
in_house_24_16,standard,152,74,1.3999990187585354e-05,SUBOPTIMAL,70,"[19, 23, 1, 15]"
in_house_24_17,standard,152,17,1.1299969628453255e-05,OPTIMAL,17,[15]
in_house_24_18,standard,153,339,1.6300007700920105e-05,OPTIMAL,339,"[0, 10, 14, 17, 16, 21, 7, 8, 5, 11, 12, 13, 15, 19, 6, 20, 23, 2, 3, 9, 18, 1, 4]"
in_house_24_19,standard,158,304,1.2699980288743973e-05,SUBOPTIMAL,293,"[11, 7, 4, 19, 12, 21, 2, 5, 23, 18, 3, 14, 16, 20, 6, 8, 0, 13]"
in_house_24_2,standard,156,191,2.2699940018355846e-05,SUBOPTIMAL,178,"[17, 20, 5, 22, 3, 10, 0, 14, 19]"
in_house_24_20,standard,149,223,7.319997530430555e-05,SUBOPTIMAL,222,"[7, 9, 11, 15, 23, 10, 12, 2, 18, 14, 16, 3, 6, 22, 8, 20]"
in_house_24_21,standard,151,68,1.2600095942616463e-05,SUBOPTIMAL,55,"[17, 14, 2]"
in_house_24_22,standard,150,264,1.2800097465515137e-05,OPTIMAL,264,"[10, 12, 18, 19, 16, 23, 0, 20, 1, 15, 5, 13, 7, 3, 9, 14, 17, 8, 2, 4, 6]"
in_house_24_23,standard,155,97,1.880002673715353e-05,SUBOPTIMAL,96,"[20, 7, 14, 23, 3]"
in_house_24_24,standard,156,25,1.4199991710484028e-05,SUBOPTIMAL,15,[17]
in_house_24_3,standard,153,146,1.1900090612471104e-05,SUBOPTIMAL,133,"[3, 16, 7, 18, 19, 20, 6]"
in_house_24_4,standard,159,258,2.4700071662664413e-05,SUBOPTIMAL,224,"[18, 19, 8, 4, 12, 13, 5, 23, 0, 7, 14, 9]"
in_house_24_5,standard,154,274,0.00012860004790127277,OPTIMAL,274,"[5, 9, 10, 12, 4, 14, 20, 23, 8, 15, 22, 1, 3, 18, 19, 6, 2]"
in_house_24_6,standard,153,317,1.3399985618889332e-05,SUBOPTIMAL,314,"[21, 4, 13, 5, 7, 20, 1, 2, 10, 8, 11, 12, 23, 3, 9, 15, 22, 18]"
in_house_24_7,standard,155,238,2.519995905458927e-05,OPTIMAL,238,"[12, 23, 3, 9, 1, 8, 17, 0, 6, 7, 18, 22, 15, 4, 20, 21, 5, 11, 16]"
in_house_24_8,standard,154,62,1.8900027498602867e-05,SUBOPTIMAL,55,"[22, 3, 4]"
in_house_24_9,standard,154,326,1.470011193305254e-05,OPTIMAL,326,"[21, 1, 6, 23, 13, 0, 4, 16, 7, 9, 10, 22, 11, 2, 17, 20, 8, 18, 12, 5, 3, 19, 15]"
in_house_4_0,standard,21,2,2.4000066332519054e-05,OPTIMAL,2,[0]
in_house_4_1,standard,21,8,2.6000081561505795e-05,OPTIMAL,8,"[3, 0, 2]"
in_house_4_10,standard,21,8,6.6999346017837524e-06,OPTIMAL,8,"[0, 1]"
in_house_4_11,standard,21,11,2.9999995604157448e-05,OPTIMAL,11,"[1, 3, 2]"
in_house_4_12,standard,21,4,6.900052540004253e-06,OPTIMAL,4,[1]
in_house_4_13,standard,21,12,6.200047209858894e-06,OPTIMAL,12,"[1, 2, 3]"
in_house_4_14,standard,21,10,4.3199979700148106e-05,OPTIMAL,10,"[0, 1, 2]"
in_house_4_15,standard,21,6,7.6000578701496124e-06,OPTIMAL,6,"[1, 3]"
in_house_4_16,standard,21,10,7.0999376475811005e-06,OPTIMAL,10,"[0, 1, 3]"
in_house_4_17,standard,22,9,4.2199972085654736e-05,OPTIMAL,9,"[1, 3, 0]"
in_house_4_18,standard,21,7,7.3999399319291115e-06,OPTIMAL,7,"[0, 2, 1]"
in_house_4_19,standard,21,9,8.09994526207447e-06,OPTIMAL,9,"[2, 0, 3]"
in_house_4_2,standard,21,7,4.0899962186813354e-05,SUBOPTIMAL,4,[2]
in_house_4_20,standard,21,9,7.899943739175797e-06,OPTIMAL,9,"[2, 3, 1]"
in_house_4_21,standard,21,2,5.700043402612209e-06,OPTIMAL,2,[0]
in_house_4_22,standard,21,5,8.599949069321156e-06,OPTIMAL,5,"[0, 2, 1]"
in_house_4_23,standard,21,9,9.400071576237679e-06,OPTIMAL,9,"[0, 2, 1]"
in_house_4_24,standard,21,4,6.700051017105579e-06,OPTIMAL,4,[2]
in_house_4_3,standard,21,8,2.189993392676115e-05,OPTIMAL,8,"[1, 2, 3]"
in_house_4_4,standard,21,6,1.0300078429281712e-05,OPTIMAL,6,"[2, 1, 0]"
in_house_4_5,standard,21,3,7.899943739175797e-06,OPTIMAL,3,[2]
in_house_4_6,standard,22,10,1.3699987903237343e-05,OPTIMAL,10,"[0, 1, 2]"
in_house_4_7,standard,21,10,1.9200029782950878e-05,OPTIMAL,10,"[1, 0, 3]"
in_house_4_8,standard,21,6,1.0999967344105244e-05,OPTIMAL,6,"[1, 2]"
in_house_4_9,standard,21,6,7.4999406933784485e-06,OPTIMAL,6,"[1, 2, 0]"
in_house_8_0,standard,42,25,3.50000336766243e-05,SUBOPTIMAL,24,"[6, 1, 0, 2, 3]"
in_house_8_1,standard,41,20,8.300063200294971e-06,SUBOPTIMAL,15,"[4, 2]"
in_house_8_10,standard,41,13,3.0399998649954796e-05,OPTIMAL,13,"[7, 4]"
in_house_8_11,standard,41,15,2.5099958293139935e-05,OPTIMAL,15,"[6, 1]"
in_house_8_12,standard,42,24,8.79995059221983e-06,OPTIMAL,24,"[3, 7, 6, 5, 2]"
in_house_8_13,standard,41,15,1.209997572004795e-05,OPTIMAL,15,"[7, 1]"
