Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_4_0,standard,14,15,0.00012399998377077281,SUBOPTIMAL,23,"[1, 2, 3, 4]"
in_house_4_1,standard,17,34,0.00010649999603629112,SUBOPTIMAL,36,"[1, 3, 2, 4]"
in_house_4_10,standard,14,24,0.00010420000762678683,SUBOPTIMAL,31,"[1, 3, 2, 4]"
in_house_4_11,standard,14,16,0.00016780002624727786,SUBOPTIMAL,19,"[1, 3, 4, 2]"
in_house_4_12,standard,15,39,0.0001160999818239361,SUBOPTIMAL,40,"[1, 3, 4, 2]"
in_house_4_13,standard,15,22,0.00010699999984353781,SUBOPTIMAL,27,"[1, 4, 2, 3]"
in_house_4_14,standard,15,30,0.00010510001447983086,SUBOPTIMAL,34,"[1, 4, 3, 2]"
in_house_4_15,standard,16,32,0.00011179997818544507,SUBOPTIMAL,35,"[1, 4, 2, 3]"
in_house_4_16,standard,17,32,0.00015380000695586205,SUBOPTIMAL,33,"[1, 3, 2, 4]"
in_house_4_17,standard,14,15,0.0001233000075444579,SUBOPTIMAL,24,"[1, 4, 2, 3]"
in_house_4_18,standard,16,31,0.00010850001126527786,SUBOPTIMAL,35,"[1, 4, 2, 3]"
in_house_4_19,standard,16,32,0.00010639999527484179,SUBOPTIMAL,34,"[1, 3, 4, 2]"
in_house_4_2,standard,16,28,0.00010850001126527786,SUBOPTIMAL,29,"[1, 3, 2, 4]"
in_house_4_20,standard,15,34,0.0005443999834824353,SUBOPTIMAL,38,"[1, 2, 4, 3]"
in_house_4_21,standard,14,20,0.00010720000136643648,SUBOPTIMAL,28,"[1, 2, 4, 3]"
in_house_4_22,standard,17,32,0.00010659999679774046,SUBOPTIMAL,37,"[1, 3, 4, 2]"
in_house_4_23,standard,14,16,0.0004109000146854669,SUBOPTIMAL,23,"[1, 4, 3, 2]"
in_house_4_24,standard,16,41,0.00011049999739043415,SUBOPTIMAL,45,"[1, 4, 2, 3]"
in_house_4_3,standard,16,36,0.00010759997530840337,SUBOPTIMAL,37,"[1, 2, 3, 4]"
in_house_4_4,standard,16,27,0.0001145999995060265,SUBOPTIMAL,29,"[1, 3, 4, 2]"
in_house_4_5,standard,16,23,0.00013749999925494194,SUBOPTIMAL,31,"[1, 4, 2, 3]"
in_house_4_6,standard,14,18,0.00017789998673833907,SUBOPTIMAL,21,"[1, 4, 2, 3]"
in_house_4_7,standard,16,32,0.00012510002125054598,SUBOPTIMAL,37,"[1, 4, 3, 2]"
in_house_4_8,standard,15,21,0.0001613000058569014,SUBOPTIMAL,29,"[1, 2, 3, 4]"
in_house_4_9,standard,15,29,0.0004230999911669642,SUBOPTIMAL,33,"[1, 3, 4, 2]"
in_house_5_0,standard,29,58,0.0001619999820832163,SUBOPTIMAL,64,"[1, 4, 2, 3, 5]"
in_house_5_1,standard,28,57,0.00017340001068077981,SUBOPTIMAL,63,"[1, 2, 4, 5, 3]"
in_house_5_10,standard,26,38,0.00034210001467727125,SUBOPTIMAL,43,"[1, 2, 5, 4, 3]"
in_house_5_11,standard,26,35,0.0001618000096641481,SUBOPTIMAL,50,"[1, 4, 5, 3, 2]"
in_house_5_12,standard,28,56,0.0002992000081576407,SUBOPTIMAL,65,"[1, 2, 5, 4, 3]"
in_house_5_13,standard,26,29,0.00015499998698942363,SUBOPTIMAL,31,"[1, 2, 3, 5, 4]"
in_house_5_14,standard,26,41,0.00014109999756328762,SUBOPTIMAL,60,"[1, 2, 4, 3, 5]"
in_house_5_15,standard,29,50,0.00020569999469444156,SUBOPTIMAL,51,"[1, 5, 3, 4, 2]"
in_house_5_16,standard,27,53,0.000172399973962456,SUBOPTIMAL,62,"[1, 3, 4, 5, 2]"
in_house_5_17,standard,28,63,0.00015639999764971435,SUBOPTIMAL,66,"[1, 2, 5, 3, 4]"
in_house_5_18,standard,26,30,0.0002294000005349517,SUBOPTIMAL,44,"[1, 5, 4, 3, 2]"
in_house_5_19,standard,27,51,0.00020479998784139752,SUBOPTIMAL,54,"[1, 2, 3, 4, 5]"
in_house_5_2,standard,27,49,0.00018870001076720655,SUBOPTIMAL,55,"[1, 5, 4, 3, 2]"
in_house_5_20,standard,28,49,0.00013449997641146183,SUBOPTIMAL,50,"[1, 5, 4, 2, 3]"
in_house_5_21,standard,29,74,0.00020310000400058925,SUBOPTIMAL,75,"[1, 3, 4, 2, 5]"
in_house_5_22,standard,26,41,0.00011439999798312783,SUBOPTIMAL,44,"[1, 2, 3, 5, 4]"
in_house_5_23,standard,26,38,0.00017449998995289207,SUBOPTIMAL,46,"[1, 4, 2, 3, 5]"
in_house_5_24,standard,26,32,0.00016429999959655106,SUBOPTIMAL,47,"[1, 3, 4, 2, 5]"
in_house_5_3,standard,30,73,0.00022690001060254872,SUBOPTIMAL,75,"[1, 2, 3, 5, 4]"
in_house_5_4,standard,30,76,0.00020280000171624124,SUBOPTIMAL,81,"[1, 4, 2, 3, 5]"
in_house_5_5,standard,26,43,0.00011529997573234141,SUBOPTIMAL,48,"[1, 2, 3, 4, 5]"
in_house_5_6,standard,27,37,0.00011000002268701792,SUBOPTIMAL,45,"[1, 3, 2, 4, 5]"
