Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_4_0,standard,16,30,0.00012919999426230788,OPTIMAL,30,"[1, 2, 3, 4]"
in_house_4_1,standard,14,13,0.00010800000745803118,SUBOPTIMAL,17,"[1, 4, 2, 3]"
in_house_4_10,standard,16,36,0.00010529998689889908,OPTIMAL,36,"[1, 3, 2, 4]"
in_house_4_11,standard,17,30,0.00011309998808428645,OPTIMAL,30,"[1, 4, 2, 3]"
in_house_4_12,standard,16,31,0.00010539998766034842,OPTIMAL,31,"[1, 2, 3, 4]"
in_house_4_13,standard,16,36,0.00010579999070614576,OPTIMAL,36,"[1, 3, 2, 4]"
in_house_4_14,standard,18,49,0.00010689999908208847,SUBOPTIMAL,50,"[1, 2, 4, 3]"
in_house_4_15,standard,16,34,0.00032950000604614615,SUBOPTIMAL,37,"[1, 4, 2, 3]"
in_house_4_16,standard,17,36,0.00010930001735687256,SUBOPTIMAL,42,"[1, 2, 4, 3]"
in_house_4_17,standard,16,35,0.00011910000466741621,OPTIMAL,35,"[1, 3, 2, 4]"
in_house_4_18,standard,15,30,0.0001939999929163605,OPTIMAL,30,"[1, 3, 4, 2]"
in_house_4_19,standard,15,28,0.00012669997522607446,SUBOPTIMAL,32,"[1, 3, 2, 4]"
in_house_4_2,standard,16,31,0.00015430001076310873,OPTIMAL,31,"[1, 2, 4, 3]"
in_house_4_20,standard,14,24,0.0002594000252429396,SUBOPTIMAL,28,"[1, 2, 4, 3]"
in_house_4_21,standard,17,32,0.00012790001346729696,OPTIMAL,32,"[1, 2, 3, 4]"
in_house_4_22,standard,17,38,0.00010760000441223383,SUBOPTIMAL,41,"[1, 3, 4, 2]"
in_house_4_23,standard,14,17,0.0002528000040911138,OPTIMAL,17,"[1, 3, 2, 4]"
in_house_4_24,standard,18,45,0.00011299998732283711,OPTIMAL,45,"[1, 3, 2, 4]"
in_house_4_3,standard,14,16,0.00010850001126527786,SUBOPTIMAL,18,"[1, 3, 2, 4]"
in_house_4_4,standard,16,21,0.00029799999902024865,OPTIMAL,21,"[1, 2, 3, 4]"
in_house_4_5,standard,15,22,0.00015300000086426735,OPTIMAL,22,"[1, 4, 3, 2]"
in_house_4_6,standard,16,28,0.00013719999697059393,OPTIMAL,28,"[1, 2, 4, 3]"
in_house_4_7,standard,17,36,0.00015879998682066798,OPTIMAL,36,"[1, 3, 2, 4]"
in_house_4_8,standard,15,23,0.00010939998901449144,OPTIMAL,23,"[1, 4, 3, 2]"
in_house_4_9,standard,16,36,0.00010699999984353781,OPTIMAL,36,"[1, 2, 3, 4]"
